Experiment,N,R,BS,k,CPU_time,CPU_ops,GPU_Eff_Global_time,GPU_Eff_Global_ops,GPU_Ineff_Global_time,GPU_Ineff_Global_ops,GPU_Eff_Shared_time,GPU_Eff_Shared_ops,GPU_Ineff_Shared_time,GPU_Ineff_Shared_ops
1,256,6,8,1,0.000106000,0,0.000111000,0,0.000112000,0,0.000115000,0,0.000108000,0
1,512,6,8,1,0.000512000,0,0.000532000,0,0.000461000,0,0.000458000,0,0.000442000,0
1,1024,6,8,1,0.002697000,0,0.002711000,0,0.002160000,0,0.002813000,0,0.002370000,0
1,2048,6,8,1,0.010341000,0,0.013313000,0,0.010236000,0,0.011542000,0,0.008014000,0
1,4096,6,8,1,0.043021999,0,0.032414999,0,0.030506000,0,0.030685000,0,0.029893000,0
1,8192,6,8,1,0.144657999,0,0.124284998,0,0.122449003,0,0.122291997,0,0.120325997,0
1,16384,6,8,1,0.528559029,0,0.662612975,0,0.658536017,0,0.676243007,0,0.657719016,0
1,32768,6,8,1,2.878704071,0,2.895631075,0,2.868139982,0,2.952174902,0,2.975182056,0
1,256,6,16,1,0.000174000,0,0.000137000,0,0.000112000,0,0.000113000,0,0.000117000,0
1,512,6,16,1,0.000492000,0,0.000525000,0,0.000568000,0,0.000605000,0,0.000482000,0
1,1024,6,16,1,0.002116000,0,0.002102000,0,0.002243000,0,0.003088000,0,0.002223000,0
1,2048,6,16,1,0.009741000,0,0.008555000,0,0.012401000,0,0.009727000,0,0.010667000,0
1,4096,6,16,1,0.039358001,0,0.041476998,0,0.038773999,0,0.036915001,0,0.036134001,0
1,8192,6,16,1,0.152608007,0,0.146864995,0,0.142996997,0,0.148068994,0,0.142739996,0
1,16384,6,16,1,0.502761006,0,0.501241028,0,0.579618990,0,0.662490010,0,0.681650996,0
1,32768,6,16,1,2.830128908,0,3.680603027,0,3.895603895,0,4.541624069,0,6.541030884,0
1,256,6,32,1,0.000134000,0,0.000119000,0,0.000123000,0,0.000119000,0,0.000118000,0
1,512,6,32,1,0.000538000,0,0.000537000,0,0.000527000,0,0.000513000,0,0.000541000,0
1,1024,6,32,1,0.002403000,0,0.002081000,0,0.002122000,0,0.002275000,0,0.002016000,0
1,2048,6,32,1,0.009379000,0,0.010007000,0,0.009519000,0,0.008734000,0,0.009324000,0
1,4096,6,32,1,0.046778999,0,0.041260999,0,0.040367998,0,0.043272000,0,0.037501998,0
1,8192,6,32,1,0.162772000,0,0.159034997,0,0.157823995,0,0.158208996,0,0.159108996,0
1,16384,6,32,1,0.526304007,0,0.532634974,0,0.679742992,0,0.709034026,0,0.710430026,0
1,32768,6,32,1,3.055526972,0,3.250746012,0,3.209634066,0,3.144967079,0,3.159746885,0
1,256,40,8,1,0.000076000,0,0.000076000,0,0.000073000,0,0.000073000,0,0.000072000,0
1,512,40,8,1,0.000430000,0,0.000431000,0,0.000429000,0,0.000528000,0,0.000881000,0
1,1024,40,8,1,0.002988000,0,0.003876000,0,0.003109000,0,0.002741000,0,0.002719000,0
1,2048,40,8,1,0.013533000,0,0.012234000,0,0.013703000,0,0.016659999,0,0.013356000,0
1,4096,40,8,1,0.048333999,0,0.050026000,0,0.054191999,0,0.056421001,0,0.052901000,0
1,8192,40,8,1,0.189905003,0,0.198679999,0,0.183486998,0,0.176001996,0,0.177395999,0
1,16384,40,8,1,0.599439025,0,0.733210981,0,0.798568010,0,0.852831006,0,0.866237998,0
1,32768,40,8,1,3.567265034,0,3.715655088,0,3.594293118,0,3.431482077,0,3.560441971,0
1,256,40,16,1,0.000078000,0,0.000086000,0,0.000070000,0,0.000070000,0,0.000069000,0
1,512,40,16,1,0.000478000,0,0.000439000,0,0.000452000,0,0.000428000,0,0.000406000,0
1,1024,40,16,1,0.002220000,0,0.002137000,0,0.002444000,0,0.002454000,0,0.002563000,0
1,2048,40,16,1,0.010750000,0,0.011696000,0,0.015059000,0,0.013362000,0,0.016169000,0
1,4096,40,16,1,0.051950000,0,0.049610998,0,0.044751000,0,0.044622000,0,0.041535001,0
1,8192,40,16,1,0.185574993,0,0.192999005,0,0.212852001,0,0.191283002,0,0.182778001,0
1,16384,40,16,1,0.578351974,0,0.578211010,0,0.785373986,0,0.798924029,0,0.786441982,0
1,32768,40,16,1,3.693368912,0,3.726766109,0,3.587534904,0,3.634947062,0,3.377944946,0
1,256,40,32,1,0.000073000,0,0.000068000,0,0.000070000,0,0.000078000,0,0.000065000,0
1,512,40,32,1,0.000449000,0,0.000426000,0,0.000424000,0,0.000402000,0,0.000397000,0
1,1024,40,32,1,0.002077000,0,0.002631000,0,0.002923000,0,0.002429000,0,0.002187000,0
1,2048,40,32,1,0.011890000,0,0.013055000,0,0.012981000,0,0.011076000,0,0.008536000,0
1,4096,40,32,1,0.044697002,0,0.043070000,0,0.045960002,0,0.049449001,0,0.048850998,0
1,8192,40,32,1,0.188354999,0,0.179118007,0,0.184836999,0,0.196344003,0,0.184091002,0
1,16384,40,32,1,0.578514993,0,0.572911024,0,0.703302979,0,0.737091005,0,0.761003017,0
1,32768,40,32,1,3.501224041,0,3.722868919,0,3.637398005,0,3.513430119,0,3.421101093,0
2,4096,6,8,1,0.043793999,0,0.043613002,0,0.044923998,0,0.043742001,0,0.045988999,0
2,4096,6,8,2,0.010502000,0,0.010186000,0,0.010849000,0,0.008482000,0,0.008459000,0
2,4096,6,8,8,0.010014000,0,0.008948000,0,0.010680000,0,0.008925000,0,0.011147000,0
2,4096,6,16,1,0.014104000,0,0.010487000,0,0.009510000,0,0.009408000,0,0.010363000,0
2,4096,6,16,2,0.010718000,0,0.010959000,0,0.009078000,0,0.008972000,0,0.009574000,0
2,4096,6,16,8,0.010873000,0,0.011017000,0,0.010198000,0,0.008870000,0,0.008799000,0
2,4096,6,32,1,0.008461000,0,0.008375000,0,0.008373000,0,0.010393000,0,0.008630000,0
2,4096,6,32,2,0.008626000,0,0.008458000,0,0.008497000,0,0.008557000,0,0.008434000,0
2,4096,6,32,8,0.009301000,0,0.010616000,0,0.008494000,0,0.008543000,0,0.008513000,0
2,4096,40,8,1,0.043873001,0,0.044264000,0,0.044305000,0,0.042631999,0,0.046574000,0
2,4096,40,8,2,0.011897000,0,0.009148000,0,0.009065000,0,0.009321000,0,0.011423000,0
2,4096,40,8,8,0.008285000,0,0.008177000,0,0.008082000,0,0.009507000,0,0.008252000,0
2,4096,40,16,1,0.008368000,0,0.007753000,0,0.007807000,0,0.007786000,0,0.007942000,0
2,4096,40,16,2,0.010112000,0,0.013782000,0,0.009587000,0,0.010227000,0,0.008265000,0
2,4096,40,16,8,0.008324000,0,0.008218000,0,0.008079000,0,0.008397000,0,0.008221000,0
2,4096,40,32,1,0.008334000,0,0.008122000,0,0.008658000,0,0.010167000,0,0.008560000,0
2,4096,40,32,2,0.008928000,0,0.010076000,0,0.010038000,0,0.008338000,0,0.008183000,0
2,4096,40,32,8,0.008282000,0,0.008314000,0,0.008272000,0,0.008179000,0,0.009863000,0
